Organism	Chromosome	Contig	Gene_Name	Strand_Orientation	Start	End
Homo sapiens 	X 	NT_011757 	LOC139452 	- 	13998234 	13999097
Homo sapiens 	X 	NT_011757 	CTPS2 	- 	14387805 	14512742
Homo sapiens 	X 	NT_011757 	S100G 	+ 	14449964 	14454474
Homo sapiens 	X 	NT_011757 	SYAP1 	+ 	14519438 	14561036
Homo sapiens 	X 	NT_011757 	CXorf15 	+ 	14586243 	14641979
Homo sapiens 	X 	NT_011757 	RBBP7 	- 	14644460 	14670148
Homo sapiens 	X 	NT_011757 	RNU4P6 	- 	14675006 	14675073
Homo sapiens 	X 	NT_011757 	REPS2 	+ 	14746497 	14947418
Homo sapiens 	X 	NT_011757 	NHS 	+ 	15175226 	15535797
Homo sapiens 	X 	NT_011757 	SCML1 	+ 	15537275 	15554788
Homo sapiens 	X 	NT_011757 	RAI2 	- 	15599854 	15602190
Homo sapiens 	X 	NT_011757 	CXorf20 	- 	15962734 	16020686
Homo sapiens 	X 	NT_011757 	SCML2 	- 	16039117 	16154461
Homo sapiens 	X 	NT_011757 	CDKL5 	+ 	16225408 	16453432
Homo sapiens 	X 	NT_011757 	RS1 	- 	16439491 	16471912
Homo sapiens 	X 	NT_011757 	PPEF1 	+ 	16490728 	16627718
Homo sapiens 	X 	NT_011757 	LOC441484 	+ 	16665200 	16666359
Homo sapiens 	X 	NT_011757 	PHKA2 	- 	16692555 	16783859
Homo sapiens 	X 	NT_011757 	GPR64 	- 	16789115 	16882547
Homo sapiens 	X 	NT_011757 	PDHA1 	+ 	17143734 	17159648
Homo sapiens 	X 	NT_011757 	MAP3K15 	- 	17159857 	17282077
Homo sapiens 	X 	NT_011757 	SH3KBP1 	- 	17335203 	17687402
Homo sapiens 	X 	NT_011757 	CXorf23 	- 	17716059 	17766107
Homo sapiens 	X 	NT_011757 	LOC729609 	- 	17790705 	17801541
Homo sapiens 	X 	NT_011757 	FLJ14503 	- 	17806912 	17916699
Homo sapiens 	X 	NT_011757 	EIF1AX 	- 	17924319 	17941649
Homo sapiens 	X 	NT_011757 	RPS6KA3 	- 	17949712 	18066433
Homo sapiens 	X 	NT_011757 	CNKSR2 	+ 	19174663 	19452462
Homo sapiens 	X 	NT_011757 	RP11-450P7.3 	- 	19455292 	19458131
Homo sapiens 	X 	NT_011757 	SMPX 	- 	19505774 	19557913
Homo sapiens 	X 	NT_011757 	MBTPS2 	+ 	19639437 	19682556
Homo sapiens 	X 	NT_011757 	YY2 	+ 	19656286 	19657404
Homo sapiens 	X 	NT_011757 	SMS 	+ 	19740525 	19794638
Homo sapiens 	X 	NT_011757 	PHEX 	+ 	19832604 	20048161
Homo sapiens 	X 	NT_011757 	ZNF645 	+ 	20072743 	20074257
Homo sapiens 	X 	NT_011757 	LOC729650 	+ 	20235857 	20236222
Homo sapiens 	X 	NT_011757 	DDX53 	+ 	20799770 	20801889
Homo sapiens 	X 	NT_011757 	MGC45134 	+ 	20875386 	20877012
Homo sapiens 	X 	NT_011757 	LOC653707 	+ 	20998139 	21093327
Homo sapiens 	X 	NT_011757 	PTCHD1 	+ 	21134778 	21194102
Homo sapiens 	X 	NT_011757 	PRDX4 	+ 	21467328 	21486197
Homo sapiens 	X 	NT_011757 	ACOT9 	- 	21503460 	21543090
Homo sapiens 	X 	NT_011757 	SAT 	+ 	21582987 	21586010
Homo sapiens 	X 	NT_011757 	FAM121B 	- 	21633153 	21707720
Homo sapiens 	X 	NT_011757 	RPL9P7 	- 	21636444 	21637146
Homo sapiens 	X 	NT_011757 	CXorf58 	+ 	21707806 	21739307
Homo sapiens 	X 	NT_011757 	KLHL15 	- 	21787646 	21826986
Homo sapiens 	X 	NT_011757 	LOC729685 	+ 	21823902 	21825793
Homo sapiens 	X 	NT_011757 	EIF2S3 	+ 	21854748 	21878610
Homo sapiens 	X 	NT_011757 	ZFX 	+ 	21949586 	22014311
Homo sapiens 	X 	NT_011757 	FAM48B1 	- 	22110662 	22114042
Homo sapiens 	X 	NT_011757 	LOC729188 	- 	22229290 	22229746
Homo sapiens 	X 	NT_011757 	PDK3 	+ 	22265237 	22334225
Homo sapiens 	X 	NT_011757 	PCYT1B 	- 	22357887 	22447036
Homo sapiens 	X 	NT_011757 	POLA 	+ 	22493747 	22796783
Homo sapiens 	X 	NT_011757 	SCARNA23 	+ 	22544241 	22544370
Homo sapiens 	X 	NT_011757 	LOC644820 	- 	22588132 	22588910
Homo sapiens 	X 	NT_011757 	ARX 	- 	22803975 	22815537
Homo sapiens 	X 	NT_011757 	LOC139957 	+ 	22829345 	22830035
Homo sapiens 	X 	NT_011757 	LOC441487 	- 	22994181 	22997803
Homo sapiens 	X 	NT_011757 	LOC389842 	- 	23445392 	23477340
Homo sapiens 	X 	NT_011757 	MAGEB18 	+ 	23938143 	23940535
Homo sapiens 	X 	NT_011757 	MAGEB6B 	+ 	23960401 	23961624
Homo sapiens 	X 	NT_011757 	MAGEB6 	+ 	23992240 	23995446
Homo sapiens 	X 	NT_011757 	MAGEB5 	+ 	24015940 	24017936
Homo sapiens 	X 	NT_011757 	VENTXP1 	+ 	24358137 	24360852
Homo sapiens 	X 	NT_011757 	LOC646346 	+ 	24482367 	24487755
Homo sapiens 	X 	NT_011757 	HMGA1L1 	+ 	24547678 	24549759
Homo sapiens 	X 	NT_011757 	FLJ32867 	- 	25260009 	25263141
Homo sapiens 	X 	NT_011757 	RDXP2 	- 	25314965 	25317683
Homo sapiens 	X 	NT_011757 	WDR42C 	+ 	25546696 	25548591
Homo sapiens 	X 	NT_011757 	MAGEB10 	+ 	25607808 	25622446
Homo sapiens 	X 	NT_011757 	LOC392435 	+ 	25629693 	25633016
Homo sapiens 	X 	NT_011757 	LOC392436 	+ 	25654634 	25655072
Homo sapiens 	X 	NT_011757 	LOC414355 	+ 	25663694 	25664486
Homo sapiens 	X 	NT_011757 	LOC340569 	- 	25693392 	25693828
Homo sapiens 	X 	NT_011757 	WDR42B 	- 	25777793 	25781249
Homo sapiens 	X 	NT_011757 	IL1RAPL1 	+ 	26387242 	27756523
Homo sapiens 	X 	NT_011757 	LOC646438 	- 	26458862 	26459269
Homo sapiens 	X 	NT_011757 	MAGEB2 	+ 	28015363 	28019889
Homo sapiens 	X 	NT_011757 	MAGEB3 	+ 	28030236 	28037290
Homo sapiens 	X 	NT_011757 	MAGEB4 	+ 	28041852 	28043993
Homo sapiens 	X 	NT_011757 	MAGEB1 	+ 	28043531 	28051838
Homo sapiens 	X 	NT_011757 	NR0B1 	- 	28104268 	28109175
Homo sapiens 	X 	NT_011757 	CXorf21 	- 	28358624 	28377597
Homo sapiens 	X 	NT_011757 	LOC652904 	+ 	28417254 	28417493
Homo sapiens 	X 	NT_011757 	LOC392437 	+ 	28429883 	28430625
Homo sapiens 	X 	NT_011757 	GK 	+ 	28453223 	28530408
Homo sapiens 	X 	NT_011757 	MAP3K7IP3 	- 	28630131 	28774884
Homo sapiens 	X 	NT_011757 	FTHL17 	- 	28871041 	28871853
Homo sapiens 	X 	NT_011757 	DMD 	- 	28919028 	31139409
Homo sapiens 	X 	NT_011757 	TBCAP1 	+ 	30841145 	30841701
Homo sapiens 	X 	NT_011757 	LOC646506 	+ 	31210705 	31211973
Homo sapiens 	X 	NT_011757 	FAM47A 	- 	31929556 	31932114
Homo sapiens 	X 	NT_011757 	LOC139431 	+ 	31946735 	31947386
Homo sapiens 	X 	NT_011757 	LOC392439 	+ 	32187522 	32188212
Homo sapiens 	X 	NT_011757 	TMEM47 	- 	32426864 	32457088
Homo sapiens 	X 	NT_011757 	FAM47B 	+ 	32742614 	32744717
Homo sapiens 	X 	NT_011757 	LOC392440 	+ 	32858829 	32859779
Homo sapiens 	X 	NT_011757 	LOC340571 	+ 	33425614 	33426775
Homo sapiens 	X 	NT_011757 	LOC646569 	+ 	33511078 	33511461
Homo sapiens 	X 	NT_011757 	LOC139604 	+ 	33601997 	33602971
Homo sapiens 	X 	NT_011757 	CXorf22 	+ 	33719541 	33789952
Homo sapiens 	X 	NT_011757 	CXorf59 	+ 	33846736 	33944870
Homo sapiens 	X 	NT_011757 	LOC646577 	+ 	34010914 	34011538
Homo sapiens 	X 	NT_011757 	LOC158730 	+ 	34028400 	34055045
Homo sapiens 	X 	NT_011757 	LOC645090 	+ 	34065977 	34184804
Homo sapiens 	X 	NT_011757 	LOC646584 	+ 	34519674 	34520273
Homo sapiens 	X 	NT_011757 	LOC646585 	- 	34757334 	34758140
Homo sapiens 	X 	NT_011757 	LOC441488 	- 	34761781 	34763209
Homo sapiens 	X 	NT_011757 	LOC441489 	- 	34785135 	34785849
Homo sapiens 	X 	NT_011757 	FAM47C 	+ 	34808153 	34811422
Homo sapiens 	X 	NT_011757 	LOC441490 	- 	34842779 	34844204
Homo sapiens 	X 	NT_011757 	LOC442445 	- 	34877607 	34878439
Homo sapiens 	X 	NT_011786 	LOC653155 	- 	150208 	150528
Homo sapiens 	X 	NT_011786 	KLHL13 	- 	1299486 	1374563
Homo sapiens 	X 	NT_011786 	LOC392528 	+ 	1527855 	1530691
Homo sapiens 	X 	NT_011786 	WDR44 	+ 	1747752 	1851634
Homo sapiens 	X 	NT_011786 	DOCK11 	+ 	1897581 	2087820
Homo sapiens 	X 	NT_011786 	IL13RA1 	+ 	2129269 	2196206
Homo sapiens 	X 	NT_011786 	ZCCHC12 	+ 	2225497 	2228641
Homo sapiens 	X 	NT_011786 	LOC159007 	- 	2279553 	2281000
Homo sapiens 	X 	NT_011786 	LOC392529 	+ 	2339946 	2340458
Homo sapiens 	X 	NT_011786 	LONRF3 	+ 	2376423 	2419660
Homo sapiens 	X 	NT_011786 	LOC727838 	+ 	2474899 	2476754
Homo sapiens 	X 	NT_011786 	KIAA1210 	- 	2480309 	2525315
Homo sapiens 	X 	NT_011786 	LOC641382 	- 	2585309 	2588672
Homo sapiens 	X 	NT_011786 	LOC643033 	+ 	2622455 	2623435
Homo sapiens 	X 	NT_011786 	PGRMC1 	+ 	2637973 	2646139
Homo sapiens 	X 	NT_011786 	LOC139516 	- 	2650980 	2659340
Homo sapiens 	X 	NT_011786 	MRPS17P9 	+ 	2781385 	2781777
Homo sapiens 	X 	NT_011786 	LOC203427 	+ 	2800733 	2856144
Homo sapiens 	X 	NT_011786 	SLC25A5 	+ 	2870119 	2872989
Homo sapiens 	X 	NT_011786 	CXorf56 	- 	2941211 	2967074
Homo sapiens 	X 	NT_011786 	UBE2A 	+ 	2976209 	2986091
Homo sapiens 	X 	NT_011786 	NKRF 	- 	2990016 	3007523
Homo sapiens 	X 	NT_011786 	SEPT6 	- 	3017397 	3095043
Homo sapiens 	X 	NT_011786 	ANKRD58 	+ 	3159924 	3161837
Homo sapiens 	X 	NT_011786 	RPL39 	- 	3188179 	3193316
Homo sapiens 	X 	NT_011786 	SNORA69 	- 	3189026 	3189157
Homo sapiens 	X 	NT_011786 	UPF3B 	- 	3235699 	3254678
Homo sapiens 	X 	NT_011786 	RNF113A 	- 	3272148 	3273500
Homo sapiens 	X 	NT_011786 	NDUFA1 	+ 	3273444 	3278328
Homo sapiens 	X 	NT_011786 	AKAP14 	+ 	3297646 	3322389
Homo sapiens 	X 	NT_011786 	NKAP 	- 	3326733 	3345445
Homo sapiens 	X 	NT_011786 	LOC643134 	- 	3399760 	3401311
Homo sapiens 	X 	NT_011786 	LOC727940 	- 	3473939 	3479417
Homo sapiens 	X 	NT_011786 	OTEX 	- 	3510735 	3517557
Homo sapiens 	X 	NT_011786 	PEPP-2 	+ 	3560177 	3565643
Homo sapiens 	X 	NT_011786 	LOC402420 	- 	3612014 	3621592
Homo sapiens 	X 	NT_011786 	CXorf42 	- 	3646325 	3646690
Homo sapiens 	X 	NT_011786 	ZBTB33 	+ 	3652317 	3659961
Homo sapiens 	X 	NT_011786 	FAM70A 	- 	3660215 	3712998
Homo sapiens 	X 	NT_011786 	ATP1B4 	+ 	3763677 	3783936
Homo sapiens 	X 	NT_011786 	LAMP2 	- 	3832391 	3870871
Homo sapiens 	X 	NT_011786 	CUL4B 	- 	3928206 	3977359
Homo sapiens 	X 	NT_011786 	MCTS1 	+ 	4005545 	4013952
Homo sapiens 	X 	NT_011786 	C1GALT1C1 	- 	4027241 	4031651
Homo sapiens 	X 	NT_011786 	LOC389884 	- 	4270169 	4271369
Homo sapiens 	X 	NT_011786 	LOC643311 	- 	4275460 	4277234
Homo sapiens 	X 	NT_011786 	LOC255313 	- 	4279067 	4282379
Homo sapiens 	X 	NT_011786 	LOC728036 	- 	4283928 	4287240
Homo sapiens 	X 	NT_011786 	LOC728042 	- 	4288788 	4292100
Homo sapiens 	X 	NT_011786 	LOC728049 	- 	4293649 	4296961
Homo sapiens 	X 	NT_011786 	LOC653282 	- 	4298509 	4301821
Homo sapiens 	X 	NT_011786 	LOC728062 	- 	4303392 	4306704
Homo sapiens 	X 	NT_011786 	LOC728072 	- 	4308253 	4311565
Homo sapiens 	X 	NT_011786 	LOC728075 	- 	4313113 	4316425
Homo sapiens 	X 	NT_011786 	LOC728082 	- 	4317973 	4321285
Homo sapiens 	X 	NT_011786 	LOC728090 	- 	4322833 	4326145
Homo sapiens 	X 	NT_011786 	LOC728096 	- 	4327693 	4331005
Homo sapiens 	X 	NT_011786 	GLUD2 	+ 	4392825 	4395159
Homo sapiens 	X 	NT_011786 	LOC158714 	- 	4547763 	4550617
Homo sapiens 	X 	NT_011786 	LOC643421 	- 	5208905 	5209412
Homo sapiens 	X 	NT_011786 	LOC286423 	- 	6461323 	6463042
Homo sapiens 	X 	NT_011786 	GRIA3 	+ 	6529521 	6834156
Homo sapiens 	X 	NT_011786 	LOC402422 	+ 	6906856 	6908189
Homo sapiens 	X 	NT_011786 	FERP 	+ 	6948353 	6949145
Homo sapiens 	X 	NT_011786 	THOC2 	- 	6956135 	7042900
Homo sapiens 	X 	NT_011786 	LOC643547 	- 	7204948 	7206502
Homo sapiens 	X 	NT_011786 	BIRC4 	+ 	7205411 	7259185
Homo sapiens 	X 	NT_011786 	STAG2 	+ 	7306952 	7447709
Homo sapiens 	X 	NT_011786 	SH2D1A 	+ 	7691557 	7718368
Homo sapiens 	X 	NT_011786 	ODZ1 	- 	7725694 	8309029
Homo sapiens 	X 	NT_011786 	LOC392536 	- 	8672109 	8673233
Homo sapiens 	X 	NT_011786 	WDR40C 	- 	9509877 	9511297
Homo sapiens 	X 	NT_011786 	OR4W1P 	- 	9848217 	9848564
Homo sapiens 	X 	NT_011786 	WDR40B 	- 	9894732 	9898197
Homo sapiens 	X 	NT_011786 	LOC728472 	+ 	9898040 	9898267
Homo sapiens 	X 	NT_011786 	PNPLA10P 	+ 	10737458 	10737817
Homo sapiens 	X 	NT_011786 	ACTRT1 	- 	11396304 	11397740
Homo sapiens 	X 	NT_011786 	LOC392538 	+ 	11786270 	11787183
Homo sapiens 	X 	NT_011786 	LOC139748 	+ 	12039708 	12061131
Homo sapiens 	X 	NT_011786 	LOC392539 	- 	12386876 	12388751
Homo sapiens 	X 	NT_011786 	SMARCA1 	- 	12791841 	12868804
Homo sapiens 	X 	NT_011786 	OCRL 	+ 	12885615 	12937896
Homo sapiens 	X 	NT_011786 	APLN 	- 	12990688 	13000277
Homo sapiens 	X 	NT_011786 	XPNPEP2 	+ 	13084309 	13114888
Homo sapiens 	X 	NT_011786 	CXorf9 	+ 	13125323 	13140540
Homo sapiens 	X 	NT_011786 	ZDHHC9 	- 	13150275 	13189236
Homo sapiens 	X 	NT_011786 	UTP14A 	+ 	13251522 	13275091
Homo sapiens 	X 	NT_011786 	LOC728571 	+ 	13324075 	13329886
Homo sapiens 	X 	NT_011786 	BCORL1 	+ 	13328032 	13402964
Homo sapiens 	X 	NT_011786 	LOC728584 	- 	13405351 	13405996
Homo sapiens 	X 	NT_011786 	ELF4 	- 	13410267 	13455835
Homo sapiens 	X 	NT_011786 	LOC643986 	+ 	13455371 	13455844
Homo sapiens 	X 	NT_011786 	PDCD8 	- 	13474700 	13511171
Homo sapiens 	X 	NT_011786 	RAB33A 	+ 	13517136 	13530207
Homo sapiens 	X 	NT_011786 	SUHW3 	- 	13548048 	13614236
Homo sapiens 	X 	NT_011786 	SLC25A14 	+ 	13685410 	13718698
Homo sapiens 	X 	NT_011786 	GPR119 	- 	13729777 	13730784
Homo sapiens 	X 	NT_011786 	RBMX2 	+ 	13747370 	13758991
Homo sapiens 	X 	NT_011786 	FAM45B 	+ 	13840278 	13842095
Homo sapiens 	X 	NT_011786 	LOC644066 	+ 	13875550 	13876486
Homo sapiens 	X 	NT_011786 	COVA1 	- 	13968718 	14248571
Homo sapiens 	X 	NT_011786 	FLJ30058 	+ 	14403579 	14435216
Homo sapiens 	X 	NT_011786 	OR11Q1P 	+ 	14549432 	14550380
Homo sapiens 	X 	NT_011786 	IGSF1 	- 	14618843 	14634618
Homo sapiens 	X 	NT_011786 	OR11N1P 	- 	14669671 	14670650
Homo sapiens 	X 	NT_011786 	OR5AW1P 	- 	14686866 	14687789
Homo sapiens 	X 	NT_011786 	OR5BH1P 	- 	14743386 	14744294
Homo sapiens 	X 	NT_011786 	OR1AA1P 	+ 	14769638 	14770578
Homo sapiens 	X 	NT_011786 	LOC392542 	- 	14837616 	14838230
Homo sapiens 	X 	NT_011786 	OR13H1 	+ 	14889411 	14890337
Homo sapiens 	X 	NT_011786 	OR13K1P 	+ 	14908066 	14909149
Homo sapiens 	X 	NT_011786 	OR7L1P 	+ 	14941458 	14942540
Homo sapiens 	X 	NT_011786 	OR2AF1P 	+ 	14964411 	14965300
Homo sapiens 	X 	NT_011786 	HDGFP 	+ 	14992012 	14993609
Homo sapiens 	X 	NT_011786 	LOC286467 	- 	15140699 	15175980
Homo sapiens 	X 	NT_011786 	MST4 	+ 	15368690 	15421334
Homo sapiens 	X 	NT_011786 	LOC90167 	- 	15422386 	15473413
Homo sapiens 	X 	NT_011786 	LOC392543 	- 	15475477 	15476743
Homo sapiens 	X 	NT_011786 	RAP2C 	- 	15548416 	15563552
Homo sapiens 	X 	NT_011786 	MBNL3 	- 	15723540 	15785081
Homo sapiens 	X 	NT_011786 	HS6ST2 	- 	15971407 	16306775
Homo sapiens 	X 	NT_011786 	USP26 	- 	16370855 	16373648
Homo sapiens 	X 	NT_011786 	TFDP3 	- 	16562045 	16563724
Homo sapiens 	X 	NT_011786 	GPC4 	- 	16646412 	16760553
Homo sapiens 	X 	NT_011786 	GPC3 	- 	16881121 	17331014
Homo sapiens 	X 	NT_011786 	LOC644403 	+ 	17515109 	17518355
Homo sapiens 	X 	NT_011786 	LOC347475 	+ 	17589607 	17591156
Homo sapiens 	X 	NT_011786 	LOC402425 	+ 	17617665 	17619022
Homo sapiens 	X 	NT_011786 	PHF6 	+ 	17718690 	17774170
Homo sapiens 	X 	NT_011786 	HPRT1 	+ 	17805605 	17846044
Homo sapiens 	X 	NT_011786 	MGC16121 	- 	17889804 	17899846
Homo sapiens 	X 	NT_011786 	PLAC1 	- 	17911221 	18003861
Homo sapiens 	X 	NT_011786 	FAM122B 	- 	18114944 	18145847
Homo sapiens 	X 	NT_011786 	LOC728785 	+ 	18142283 	18142753
Homo sapiens 	X 	NT_011786 	FAM122C 	+ 	18152572 	18199964
Homo sapiens 	X 	NT_011786 	MOSPD1 	- 	18233010 	18260645
Homo sapiens 	X 	NT_011786 	LOC392545 	- 	18307058 	18307686
Homo sapiens 	X 	NT_011786 	LOC644538 	+ 	18334654 	18337851
Homo sapiens 	X 	NT_011786 	LOC441518 	- 	18365891 	18367907
Homo sapiens 	X 	NT_011786 	CXX1 	+ 	18377745 	18378924
Homo sapiens 	X 	NT_011786 	DKFZP564B147 	- 	18396541 	18396885
Homo sapiens 	X 	NT_011786 	LOC644596 	- 	18443775 	18444011
Homo sapiens 	X 	NT_011786 	CXorf48 	- 	18501809 	18517099
Homo sapiens 	X 	NT_011786 	LOC728470 	- 	18525527 	18539958
Homo sapiens 	X 	NT_011786 	LOC650024 	+ 	18546996 	18560864
Homo sapiens 	X 	NT_011786 	ZNF75 	- 	18631067 	18689305
Homo sapiens 	X 	NT_011786 	ZNF449 	+ 	18690069 	18708686
Homo sapiens 	X 	NT_011786 	MGC39606 	+ 	18767208 	18771030
Homo sapiens 	X 	NT_011786 	LOC392547 	+ 	18778017 	18783985
Homo sapiens 	X 	NT_011786 	DDX26B 	+ 	18865932 	18927782
Homo sapiens 	X 	NT_011786 	LOC442465 	+ 	18944077 	18978916
Homo sapiens 	X 	NT_011786 	LOC644717 	- 	18983315 	18989018
Homo sapiens 	X 	NT_011786 	LOC139587 	- 	19012211 	19033558
Homo sapiens 	X 	NT_011786 	CT45-1 	+ 	19058533 	19068336
Homo sapiens 	X 	NT_011786 	LOC728911 	+ 	19077568 	19087187
Homo sapiens 	X 	NT_011786 	CT45-3 	+ 	19094836 	19102867
Homo sapiens 	X 	NT_011786 	CT45-2 	- 	19140043 	19148083
Homo sapiens 	X 	NT_011786 	CT45-4 	- 	19140045 	19148083
Homo sapiens 	X 	NT_011786 	CT45-5 	- 	19157312 	19165342
Homo sapiens 	X 	NT_011786 	CT45-6 	- 	19174563 	19182592
Homo sapiens 	X 	NT_011786 	SAGE1 	+ 	19187133 	19206568
Homo sapiens 	X 	NT_011786 	TMEM32 	- 	19255579 	19267482
Homo sapiens 	X 	NT_011786 	SLC9A6 	+ 	19278975 	19340640
Homo sapiens 	X 	NT_011786 	LOC139542 	- 	19391007 	19391855
Homo sapiens 	X 	NT_011786 	FHL1 	+ 	19441028 	19504858
Homo sapiens 	X 	NT_011786 	FLJ12649 	- 	19510325 	19559908
Homo sapiens 	X 	NT_011786 	LOC644817 	- 	19589197 	19593969
Homo sapiens 	X 	NT_011786 	GPR112 	+ 	19594470 	19710395
Homo sapiens 	X 	NT_011786 	BRS3 	+ 	19781473 	19785946
Homo sapiens 	X 	NT_011786 	HTATSF1 	+ 	19791019 	19805838
Homo sapiens 	X 	NT_011786 	VGLL1 	+ 	19825659 	19850311
Homo sapiens 	X 	NT_011786 	CD40LG 	+ 	19941684 	19953897
Homo sapiens 	X 	NT_011786 	ARHGEF6 	- 	19959057 	20074851
Homo sapiens 	X 	NT_011786 	LOC728962 	+ 	20084760 	20085038
Homo sapiens 	X 	NT_011786 	RBMX 	- 	20166967 	20174287
Homo sapiens 	X 	NT_011786 	SNORD61 	- 	20172706 	20172778
Homo sapiens 	X 	NT_011786 	FLJ31132 	+ 	20202902 	20287162
Homo sapiens 	X 	NT_011786 	GPR101 	- 	20323655 	20325181
Homo sapiens 	X 	NT_011786 	RAC1P4 	- 	20734554 	20735538
Homo sapiens 	X 	NT_011786 	ZIC3 	+ 	20859694 	20865607
Homo sapiens 	X 	NT_011786 	LOC389892 	+ 	20954053 	20963164
Homo sapiens 	X 	NT_011786 	LOC139363 	+ 	21771795 	21777303
Homo sapiens 	X 	NT_011786 	LOC392552 	- 	21781100 	21782530
Homo sapiens 	X 	NT_011786 	FGF13 	- 	21925083 	22032863
Homo sapiens 	X 	NT_011786 	LOC729045 	- 	22141275 	22497783
Homo sapiens 	X 	NT_011786 	SRD5AP1 	+ 	22740323 	22742480
Homo sapiens 	X 	NT_011786 	F9 	+ 	22824243 	22856965
Homo sapiens 	X 	NT_011786 	MCF2 	- 	22875278 	22936201
Homo sapiens 	X 	NT_011786 	BCYRN1P1 	+ 	23014086 	23014289
Homo sapiens 	X 	NT_011786 	ATP11C 	- 	23019853 	23125795
Homo sapiens 	X 	NT_011786 	LOC729068 	+ 	23225890 	23226773
Homo sapiens 	X 	NT_011786 	LOC347487 	- 	23249232 	23259027
Homo sapiens 	X 	NT_011786 	LOC728660 	+ 	23310769 	23311546
Homo sapiens 	X 	NT_011786 	LOC643689 	+ 	23325811 	23327377
Homo sapiens 	X 	NT_011786 	LOC389895 	+ 	23385250 	23386071
Homo sapiens 	X 	NT_011786 	LOC729078 	- 	23509533 	23510310
Homo sapiens 	X 	NT_011786 	LOC266694 	+ 	23690575 	23691406
Homo sapiens 	X 	NT_011786 	SOX3 	- 	23796500 	23798573
Homo sapiens 	X 	NT_011786 	LOC286411 	+ 	23987807 	24008335
Homo sapiens 	X 	NT_011786 	CDR1 	- 	24076773 	24078071
Homo sapiens 	X 	NT_011786 	SPANXB1 	+ 	24296104 	24297219
Homo sapiens 	X 	NT_011786 	LOC728695 	+ 	24308109 	24309224
Homo sapiens 	X 	NT_011786 	dJ507I15.1 	+ 	24444000 	24444772
Homo sapiens 	X 	NT_011786 	LDOC1 	- 	24481278 	24482658
Homo sapiens 	X 	NT_011786 	SPANXC 	- 	24546944 	24547994
Homo sapiens 	X 	NT_011786 	NDUFB3P5 	+ 	24686289 	24686689
Homo sapiens 	X 	NT_011786 	SPANXA2 	- 	24883142 	24884208
Homo sapiens 	X 	NT_011786 	SPANXA1 	- 	24883154 	24884184
Homo sapiens 	X 	NT_011786 	LOC728712 	+ 	24888973 	24890249
Homo sapiens 	X 	NT_011786 	LOC645188 	+ 	24925344 	24926211
Homo sapiens 	X 	NT_011786 	SPANXE 	- 	24996916 	24998003
Homo sapiens 	X 	NT_011786 	SPANXD 	- 	24996916 	24997946
Homo sapiens 	X 	NT_011786 	MAGEC3 	+ 	25137450 	25196966
Homo sapiens 	X 	NT_011786 	MAGEC1 	+ 	25203028 	25208531
Homo sapiens 	X 	NT_011786 	LOC392555 	- 	25472000 	25473123
Homo sapiens 	X 	NT_011786 	LOC645226 	- 	25493486 	25495265
Homo sapiens 	X 	NT_011786 	MAGEC2 	- 	25501478 	25504424
Homo sapiens 	X 	NT_011786 	SPANX-N4 	+ 	26325149 	26333380
Homo sapiens 	X 	NT_011786 	SPANX-N3 	- 	26807912 	26816655
Homo sapiens 	X 	NT_011786 	MYCL3 	- 	26894042 	26895171
Homo sapiens 	X 	NT_011786 	SLITRK4 	- 	26927266 	26934367
Homo sapiens 	X 	NT_011786 	SPANX-N2 	- 	27006403 	27015864
Homo sapiens 	X 	NT_011786 	UBE2NL 	+ 	27178521 	27179710
Homo sapiens 	X 	NT_011786 	RRM2P4 	+ 	27603625 	27604190
Homo sapiens 	X 	NT_011681 	CYCSP44 	+ 	700784 	701103
Homo sapiens 	X 	NT_011681 	SPANX-N1 	+ 	771030 	780314
Homo sapiens 	X 	NT_011681 	LOC347422 	+ 	1136188 	1156623
Homo sapiens 	X 	NT_011681 	SLITRK2 	+ 	1342032 	1350042
Homo sapiens 	X 	NT_011681 	CXorf1 	+ 	1351610 	1354056
Homo sapiens 	X 	NT_011681 	LOC653103 	- 	2143213 	2157138
Homo sapiens 	X 	NT_011681 	LOC727854 	- 	2488500 	2488688
Homo sapiens 	X 	NT_011681 	FMR1 	+ 	3436191 	3475293
Homo sapiens 	X 	NT_011681 	FMR1NB 	+ 	3505531 	3550867
Homo sapiens 	X 	NT_011681 	FTHL8 	+ 	3576214 	3577122
Homo sapiens 	X 	NT_011681 	LOC347509 	+ 	3988892 	3989630
Homo sapiens 	X 	NT_011681 	AFF2 	+ 	4024821 	4524889
Homo sapiens 	X 	NT_011681 	IDS 	- 	5006653 	5029831
Homo sapiens 	X 	NT_011681 	LOC727913 	+ 	5047183 	5050457
Homo sapiens 	X 	NT_011681 	IDSP1 	+ 	5050827 	5052451
Homo sapiens 	X 	NT_011681 	FLJ44451 	- 	5058330 	5058841
Homo sapiens 	X 	NT_011681 	CXorf40A 	+ 	5065453 	5071750
Homo sapiens 	X 	NT_011681 	FLJ16423 	+ 	5076347 	5076751
Homo sapiens 	X 	NT_011681 	LOC728269 	- 	5106095 	5111894
Homo sapiens 	X 	NT_011681 	HSFX1 	- 	5116964 	5298571
Homo sapiens 	X 	NT_011681 	FAM11A 	- 	5121005 	5156365
Homo sapiens 	X 	NT_011681 	LOC392556 	- 	5173638 	5176728
Homo sapiens 	X 	NT_011681 	MAGEA11 	- 	5210467 	5239497
